"gene_td","gene_zm","log2FC_protein","log2FC_RNA","padj_RNA","DAP","DEG","highlight"
"Td00001aa000021","Zm00001eb330650",-0.274646653460064,0.560264213546288,0.340871847175787,"NS","NS","NS"
"Td00001aa000041","Zm00001eb330480",0.358086517134357,0.299773144927762,0.587264402483236,"NS","NS","NS"
"Td00001aa000042","Zm00001eb330470",0.30943636313487,0.587776226177229,0.240483795341896,"NS","NS","NS"
"Td00001aa000049","Zm00001eb111200",-0.434382126384521,-0.629073311762173,NA,"NS","NS","NS"
"Td00001aa000068","Zm00001eb330180",0.204843751223453,0.476455415871257,0.320454183268413,"NS","NS","NS"
"Td00001aa000081","Zm00001eb330020",0.545370381201773,0.464860722156113,0.388248439297243,"NS","NS","NS"
"Td00001aa000082","Zm00001eb330010",0.213620045430633,-1.65837317796787,0.377206681297881,"NS","NS","NS"
"Td00001aa000084","Zm00001eb329980",-0.13311773875421,-0.0733514885142865,0.932925008827947,"NS","NS","NS"
"Td00001aa000086","Zm00001eb329960",0.260198076368496,0.258561275792184,0.668037681707384,"NS","NS","NS"
"Td00001aa000108","Zm00001eb329730",-0.827835158654415,-0.693811287712318,0.142719561070346,"NS","NS","NS"
"Td00001aa000109","Zm00001eb329710",0.332113025576376,0.269003180420472,0.724051435880955,"NS","NS","NS"
"Td00001aa000119","Zm00001eb329590",-0.283669615612606,-0.0314444083710509,0.971165579939797,"NS","NS","NS"
"Td00001aa000122","Zm00001eb329550",0.14499307725311,1.80662757474064,3.53863579494721e-05,"NS","Up","NS"
"Td00001aa000125","Zm00001eb329520",-1.29745636601591,-0.629073311762173,NA,"Down","NS","NS"
"Td00001aa000146","Zm00001eb329270",-0.246199701198674,0.245758107826328,0.683319709019902,"NS","NS","NS"
"Td00001aa000149","Zm00001eb329240",-0.407621992274098,-1.3170300828694,0.00918460859572642,"NS","Down","NS"
"Td00001aa000157","Zm00001eb329150",-0.330372421535031,0.45758709007863,0.304568891873693,"NS","NS","NS"
"Td00001aa000161","Zm00001eb329090",-0.44418938607766,0.775040568757182,0.0676536766960695,"NS","NS","NS"
"Td00001aa000234","Zm00001eb328410",-0.518443691781518,0.108949024840335,0.88507487696168,"NS","NS","NS"
"Td00001aa000235","Zm00001eb328400",-0.2209148991614,-0.279707905974637,0.720558788569931,"NS","NS","NS"
"Td00001aa000236","Zm00001eb328390",1.12866969617372,2.76699154159462,3.40846890463953e-09,"Up","Up","Up"
"Td00001aa000271","Zm00001eb328080",-0.0290344445825285,-0.663344470822003,0.184708455970276,"NS","NS","NS"
"Td00001aa000272","Zm00001eb328070",-0.378363026531093,1.05505014853507,0.02633208596866,"NS","Up","NS"
"Td00001aa000301","Zm00001eb327800",-0.429867290922598,-0.165787074948863,0.82768201760639,"NS","NS","NS"
"Td00001aa000336","Zm00001eb327430",0.472118669204543,0.518206314565294,0.191704891888945,"NS","NS","NS"
"Td00001aa000346","Zm00001eb327330",0.46536899041462,0.326091156905001,0.5959480200514,"NS","NS","NS"
"Td00001aa000350","Zm00001eb327290",0.279118970882132,0.152877695687699,0.810541651279461,"NS","NS","NS"
"Td00001aa000380","Zm00001eb327030",-0.294079981656887,-0.994089830248175,0.316746883267656,"NS","NS","NS"
"Td00001aa000432","Zm00001eb326640",0.0984452788174932,0.262744336302316,0.770069574764587,"NS","NS","NS"
"Td00001aa000441","Zm00001eb326560",-1.11556383427043,-0.629073311762173,NA,"NS","NS","NS"
"Td00001aa000442","Zm00001eb326540",-0.306415083069813,1.16645120642877,0.268011227037743,"NS","NS","NS"
"Td00001aa000457","Zm00001eb326410",-0.051393624622311,0.203893646495002,0.774552351586434,"NS","NS","NS"
"Td00001aa000466","Zm00001eb326230",0.252302047513788,0.215480562699015,0.726409485819248,"NS","NS","NS"
"Td00001aa000490","Zm00001eb325940",0.027287125133165,0.055667440508103,0.938887696109391,"NS","NS","NS"
"Td00001aa000499","Zm00001eb325880",-0.13657687807507,0.562244342997151,0.226290953174527,"NS","NS","NS"
"Td00001aa000504","Zm00001eb325820",-0.2999727074264,1.76972337574058,0.000121309275510942,"NS","Up","NS"
"Td00001aa000547","Zm00001eb325270",-0.0767024401281531,-0.0847513144365823,0.908982596250149,"NS","NS","NS"
"Td00001aa000549","Zm00001eb325230",-1.79129524444636,0.405765314513181,0.402348694459819,"Down","NS","NS"
"Td00001aa000573","Zm00001eb325150",-0.262386219234289,0.234817213039765,0.790016028427553,"NS","NS","NS"
"Td00001aa000601","Zm00001eb324850",0.512657430742397,-0.0799340514416996,0.930976451714957,"NS","NS","NS"
"Td00001aa000663","Zm00001eb324100",0.105117409106508,0.572573721446112,0.349542352538407,"NS","NS","NS"
"Td00001aa000684","Zm00001eb323810",0.424881518206327,0.290292659696122,0.572996087359398,"NS","NS","NS"
"Td00001aa000699","Zm00001eb323700",0.180013716128597,0.324533389952102,0.621739135756138,"NS","NS","NS"
"Td00001aa000706","Zm00001eb323620",-0.004206585633171,0.281969274891587,0.664139535596275,"NS","NS","NS"
"Td00001aa000708","Zm00001eb323600",0.264035956613083,0.6780424532568,0.205734766837445,"NS","NS","NS"
"Td00001aa000756","Zm00001eb323170",0.16938941461832,0.492491198939025,0.320104208066869,"NS","NS","NS"
"Td00001aa000777","Zm00001eb322950",0.310130323247967,-0.751990293859197,0.236273207469606,"NS","NS","NS"
"Td00001aa000799","Zm00001eb322650",-0.343491545505003,0.6744777432659,0.161950143002922,"NS","NS","NS"
"Td00001aa000801","Zm00001eb322620",-0.787305176089579,0.567840161505149,0.221196373162181,"NS","NS","NS"
"Td00001aa000807","Zm00001eb322580",0.603916076057652,0.37407532127937,0.454479716483822,"NS","NS","NS"
"Td00001aa000820","Zm00001eb322470",-0.250219365481899,-0.221644595150458,0.794502380757036,"NS","NS","NS"
"Td00001aa000830","Zm00001eb322370",0.229122788870867,-0.519681544616515,0.277434930870643,"NS","NS","NS"
"Td00001aa000835","Zm00001eb322340",-0.261803427506601,0.502152777737893,0.361118731314813,"NS","NS","NS"
"Td00001aa000864","Zm00001eb322060",-0.118718634543276,0.392646130428001,0.599956936168202,"NS","NS","NS"
"Td00001aa000866","Zm00001eb322040",-0.0833543926189215,0.394055561468734,0.407596795914271,"NS","NS","NS"
"Td00001aa000868","Zm00001eb321990",-0.293441082248934,0.0667741974251053,0.926770777431707,"NS","NS","NS"
"Td00001aa000869","Zm00001eb321980",-0.242299388535736,0.348731374956945,0.569098029527566,"NS","NS","NS"
"Td00001aa000883","Zm00001eb321830",-0.572533965450662,-0.274142966867962,0.868536612647523,"NS","NS","NS"
"Td00001aa000920","Zm00001eb321360",-1.02142851647663,-0.749181712257824,0.365352706756534,"Down","NS","NS"
"Td00001aa000926","Zm00001eb321330",0.501061649395165,0.643321815829453,0.154717596437264,"NS","NS","NS"
"Td00001aa000967","Zm00001eb320870",-2.4301876854992,0.533189578292186,0.273477226101795,"Down","NS","NS"
"Td00001aa000997","Zm00001eb104590",-0.666109409920855,-0.468076574010956,0.531993704818674,"NS","NS","NS"
"Td00001aa001066","Zm00001eb319930",-0.549456031244427,-0.173940914088172,0.766369830171242,"NS","NS","NS"
"Td00001aa001073","Zm00001eb331700",0.131705243921801,0.381799151001595,0.534254886208397,"NS","NS","NS"
"Td00001aa001084","Zm00001eb331770",-0.24177447331367,-0.584747233985866,0.23795384586112,"NS","NS","NS"
"Td00001aa001111","Zm00001eb331970",0.104358825322308,-0.986185761814572,0.0202003975944941,"NS","NS","NS"
"Td00001aa001113","Zm00001eb332000",-0.352731551074132,-0.605494794076897,0.457463096543384,"NS","NS","NS"
"Td00001aa001118","Zm00001eb332040",-0.310374173700864,0.2679837182077,0.647624041280527,"NS","NS","NS"
"Td00001aa001127","Zm00001eb319820",-0.266970889457843,0.430014657049732,0.644800730605692,"NS","NS","NS"
"Td00001aa001141","Zm00001eb319680",0.116627352051774,-0.18938381856403,0.796014199967682,"NS","NS","NS"
"Td00001aa001142","Zm00001eb319660",-0.419392714010002,-0.668449497649422,0.303838149221979,"NS","NS","NS"
"Td00001aa001143","Zm00001eb319670",-0.741156132510703,-0.366645995782495,0.646159939797548,"NS","NS","NS"
"Td00001aa001145","Zm00001eb319630",0.010434966519388,0.457861690295054,0.639607277517378,"NS","NS","NS"
"Td00001aa001210","Zm00001eb318870",-0.160483497393999,-0.857288571450315,0.296350611772771,"NS","NS","NS"
"Td00001aa001215","Zm00001eb318780",-0.61286807429131,-0.433642094976332,0.780029558699243,"NS","NS","NS"
"Td00001aa001237","Zm00001eb318540",-0.170899515410049,-0.486396112882661,0.458428749452682,"NS","NS","NS"
"Td00001aa001245","Zm00001eb318400",-0.477422803773205,0.377859394263436,0.494279458041661,"NS","NS","NS"
"Td00001aa001265","Zm00001eb318180",0.164057615640154,-0.630363955612843,0.320104208066869,"NS","NS","NS"
"Td00001aa001267","Zm00001eb318160",-0.299052183114762,-0.703516574286806,0.179376196138396,"NS","NS","NS"
"Td00001aa001268","Zm00001eb318150",1.73772474526649,-0.153432994881735,0.94863148833763,"Up","NS","NS"
"Td00001aa001283","Zm00001eb317910",0.165303736166903,0.0192197030182592,0.980920541986585,"NS","NS","NS"
"Td00001aa001300","Zm00001eb317720",-0.223106212937194,0.411469463243219,0.589576529176577,"NS","NS","NS"
"Td00001aa001301","Zm00001eb317710",-0.275392240517324,0.989604484167846,0.101147618142156,"NS","NS","NS"
"Td00001aa001319","Zm00001eb317480",0.026608436143676,0.215861183228885,0.720797294531656,"NS","NS","NS"
"Td00001aa001322","Zm00001eb102250",0.466429326778566,-0.210238427639063,0.788687473136821,"NS","NS","NS"
"Td00001aa001355","Zm00001eb317090",-1.53327227649445,-0.559345659451275,0.23556779443781,"Down","NS","NS"
"Td00001aa001373","Zm00001eb316910",0.243307604366518,0.593086767776347,0.602002051057774,"NS","NS","NS"
"Td00001aa001418","Zm00001eb316500",-0.108137150743551,0.332637814358348,0.546763883633546,"NS","NS","NS"
"Td00001aa001425","Zm00001eb316410",0.294559986297624,-0.377628757440878,0.557663035317938,"NS","NS","NS"
"Td00001aa001489","Zm00001eb315770",-0.668578590662571,0.0918605191970262,0.904912899518964,"NS","NS","NS"
"Td00001aa001495","Zm00001eb315710",-0.034555187407228,0.321633820239777,0.705990642614051,"NS","NS","NS"
"Td00001aa001498","Zm00001eb315650",-0.429558566409382,-0.136975480745621,0.879277606628878,"NS","NS","NS"
"Td00001aa001519","Zm00001eb315420",-0.683741194506434,0.599179326414179,0.272120352377392,"NS","NS","NS"
"Td00001aa001541","Zm00001eb315130",0.981271887018479,-0.912765746035474,0.145377323203281,"NS","NS","NS"
"Td00001aa001544","Zm00001eb315060",-0.23505961969154,0.206419053936138,0.736771502298863,"NS","NS","NS"
"Td00001aa001550","Zm00001eb315020",-0.250615806787889,0.861512136287824,0.0484060175165482,"NS","NS","NS"
"Td00001aa001578","Zm00001eb314710",-0.256756615264432,0.229691335423049,0.707334047864476,"NS","NS","NS"
"Td00001aa001591","Zm00001eb314620",-0.0302608183380191,-1.12259544995281,0.025344865218951,"NS","Down","NS"
"Td00001aa001592","Zm00001eb314610",-0.985033487144169,2.13611186240545,0.149266254787016,"NS","NS","NS"
"Td00001aa001617","Zm00001eb314300",-0.101186301286003,0.354558183317875,0.586949310320809,"NS","NS","NS"
"Td00001aa001626","Zm00001eb314220",0.0663365368609204,0.267049781633979,0.630276059592724,"NS","NS","NS"
"Td00001aa001703","Zm00001eb313430",0.0311692068075966,0.370873654090654,0.608540101855969,"NS","NS","NS"
"Td00001aa001768","Zm00001eb312560",0.599435047175013,0.465514721163829,0.623841062845168,"NS","NS","NS"
"Td00001aa001816","Zm00001eb312080",0.081893689496664,1.30216652613673,0.00129787486656908,"NS","Up","NS"
"Td00001aa001865","Zm00001eb311620",0.141599435940143,1.84094932688643,1.64079896391805e-06,"NS","Up","NS"
"Td00001aa001885","Zm00001eb311450",0.139228526542513,0.284622586100411,0.720797294531656,"NS","NS","NS"
"Td00001aa001943","Zm00001eb310830",-0.129947943004872,0.128615864491806,0.84363517048084,"NS","NS","NS"
"Td00001aa001961","Zm00001eb310530",-0.246542795324653,-0.445372720282396,0.519320346485665,"NS","NS","NS"
"Td00001aa001965","Zm00001eb310480",0.603368928747713,-0.0358117175069563,0.959865971874082,"NS","NS","NS"
"Td00001aa001981","Zm00001eb310290",0.420926936197368,0.0533852653175759,0.949175622272433,"NS","NS","NS"
"Td00001aa001998","Zm00001eb309980",-0.152650583551708,0.52680464227975,0.475442257395321,"NS","NS","NS"
"Td00001aa002029","Zm00001eb309660",-0.0580812517821468,0.377501308425309,0.582618796242404,"NS","NS","NS"
"Td00001aa002075","Zm00001eb309260",0.26213049356732,-1.32501117206857,0.0955445585283641,"NS","NS","NS"
"Td00001aa002133","Zm00001eb308620",-0.625537936303777,0.386455867196782,0.561578865479584,"NS","NS","NS"
"Td00001aa002147","Zm00001eb308420",0.076594612647782,0.436699692525679,0.544454167003992,"NS","NS","NS"
"Td00001aa002157","Zm00001eb308000",0.063566873174714,0.278282868250948,0.72377712984362,"NS","NS","NS"
"Td00001aa002232","Zm00001eb307340",2.91622952373269,0.349818818842682,0.927072954492572,"Up","NS","NS"
"Td00001aa002263","Zm00001eb306930",-0.0230490059381358,0.524533769975324,0.351172252134971,"NS","NS","NS"
"Td00001aa002278","Zm00001eb306680",0.127275284716866,0.655327717943715,0.184839682431351,"NS","NS","NS"
"Td00001aa002280","Zm00001eb306650",-1.41501339912584,0.165455953315835,0.805308238849902,"Down","NS","NS"
"Td00001aa002302","Zm00001eb306410",-0.130716010700272,0.489806662264971,0.381299345127966,"NS","NS","NS"
"Td00001aa002304","Zm00001eb306380",-0.891149073751972,-0.670149478794362,0.139944838590825,"NS","NS","NS"
"Td00001aa002316","Zm00001eb306310",-0.750389614675829,-0.573124469323982,0.180698667867205,"NS","NS","NS"
"Td00001aa002331","Zm00001eb306210",-0.476227753597293,0.798742035817457,0.329981033930782,"NS","NS","NS"
"Td00001aa002356","Zm00001eb096920",-0.40745955247943,0.299482334213271,0.651715148236943,"NS","NS","NS"
"Td00001aa002372","Zm00001eb305810",1.72034695182007,0.556942618224636,0.326215405745769,"Up","NS","NS"
"Td00001aa002382","Zm00001eb305750",-0.321126369393918,0.614703572662872,0.177448506953275,"NS","NS","NS"
"Td00001aa002383","Zm00001eb305710",-0.284844593459153,0.118213997193542,0.877197883110963,"NS","NS","NS"
"Td00001aa002406","Zm00001eb305460",-0.164533636292983,0.137853883099502,0.864016658043864,"NS","NS","NS"
"Td00001aa002517","Zm00001eb304310",-0.123961568715865,-0.0621016510988089,0.931235659560354,"NS","NS","NS"
"Td00001aa002518","Zm00001eb096980",-1.09158390636247,-0.656995007588401,0.231614401696409,"NS","NS","NS"
"Td00001aa002537","Zm00001eb304090",-0.411926222996873,0.275048961510183,0.67243798058219,"NS","NS","NS"
"Td00001aa002569","Zm00001eb303740",-0.182552814768504,-0.431570475510647,0.579971630282361,"NS","NS","NS"
"Td00001aa002573","Zm00001eb303720",0.213845306272902,-0.295112304928664,0.587759216266721,"NS","NS","NS"
"Td00001aa002575","Zm00001eb303700",-0.200926521204472,0.600900966859722,0.42730759185036,"NS","NS","NS"
"Td00001aa002598","Zm00001eb303540",-0.278957633898144,-0.281556327632352,0.669894475320247,"NS","NS","NS"
"Td00001aa002600","Zm00001eb303380",-0.0805611260909085,-0.779251800731309,0.225762370013606,"NS","NS","NS"
"Td00001aa002603","Zm00001eb303350",1.78717265109936,-1.29280091995639,0.579592955780752,"Up","NS","NS"
"Td00001aa002606","Zm00001eb303280",-0.457245100053423,-0.0859872867013561,0.909581831804803,"NS","NS","NS"
"Td00001aa002617","Zm00001eb303200",-0.142919282021644,0.234682718465867,0.696557265073475,"NS","NS","NS"
"Td00001aa002622","Zm00001eb303080",0.0067182791734865,0.47345075989846,0.403032977698547,"NS","NS","NS"
"Td00001aa002632","Zm00001eb302980",0.547841036134393,-0.401418446412693,0.566220199913798,"NS","NS","NS"
"Td00001aa002636","Zm00001eb302940",-0.399353830719918,-0.065116844086917,0.942697884109472,"NS","NS","NS"
"Td00001aa002661","Zm00001eb302680",-0.368207457996709,0.256674502772566,0.755642694122109,"NS","NS","NS"
"Td00001aa002689","Zm00001eb302400",0.292497791558851,0.281305702569562,0.588182156936102,"NS","NS","NS"
"Td00001aa002692","Zm00001eb302360",-0.293322730923755,0.431815115325969,0.422437598597802,"NS","NS","NS"
"Td00001aa002694","Zm00001eb302330",0.198842031352773,0.709257899244824,0.167770287969583,"NS","NS","NS"
"Td00001aa002709","Zm00001eb302200",-0.314846770095038,0.43281860267158,0.47603045377744,"NS","NS","NS"
"Td00001aa002710","Zm00001eb302190",-0.22247693973782,-0.459311085961737,0.338541385311233,"NS","NS","NS"
"Td00001aa002713","Zm00001eb302140",0.419759585498369,0.372599886689192,0.571333664113521,"NS","NS","NS"
"Td00001aa002733","Zm00001eb301680",-1.1053382622575,-0.431406887200502,0.545280883964192,"Down","NS","NS"
"Td00001aa002739","Zm00001eb301540",0.498646110102855,0.371426571586855,0.639271041495089,"NS","NS","NS"
"Td00001aa002746","Zm00001eb301440",0.0806053565646718,0.598461086074307,0.210603845380741,"NS","NS","NS"
"Td00001aa002748","Zm00001eb301420",0.203987478168479,0.434676912370933,0.473509068467594,"NS","NS","NS"
"Td00001aa002777","Zm00001eb301210",-0.211586356775851,-0.142486887884267,0.839767400148613,"NS","NS","NS"
"Td00001aa002810","Zm00001eb300970",-0.306530082861788,-0.410544776993036,0.795864804049038,"NS","NS","NS"
"Td00001aa002818","Zm00001eb300930",-0.0903080670368445,-0.399352188325762,0.435370685762461,"NS","NS","NS"
"Td00001aa002840","Zm00001eb117170",-0.118009839001896,-0.417935063120089,0.498443710559747,"NS","NS","NS"
"Td00001aa002846","Zm00001eb300740",0.102961039730379,0.84149909706911,0.405145137096204,"NS","NS","NS"
"Td00001aa002847","Zm00001eb300730",1.79268427439933,0.612630852870616,0.281055390070061,"Up","NS","NS"
"Td00001aa002854","Zm00001eb300670",0.043973628750395,-0.90568732690874,0.114697669124454,"NS","NS","NS"
"Td00001aa002896","Zm00001eb300120",-0.104414610365634,-0.715144274254265,0.278293707087758,"NS","NS","NS"
"Td00001aa002916","Zm00001eb299920",-0.285474945372733,-0.834624775731232,0.312914419722423,"NS","NS","NS"
"Td00001aa002931","Zm00001eb299790",0.730692314458668,0.0803366343431473,0.909520774585876,"NS","NS","NS"
"Td00001aa002989","Zm00001eb299230",0.185163188188742,-0.559852415370295,0.312156341584334,"NS","NS","NS"
"Td00001aa003020","Zm00001eb298950",0.061690055776599,0.40780520247441,0.364546681339577,"NS","NS","NS"
"Td00001aa003089","Zm00001eb298570",-0.230952315802905,-0.061679231539022,0.933944792376982,"NS","NS","NS"
"Td00001aa003097","Zm00001eb298480",-0.82800769864301,-1.03380893031331,0.104555884531597,"NS","NS","NS"
"Td00001aa003108","Zm00001eb298320",-0.468154009503037,-0.684163523621809,0.205447460747281,"NS","NS","NS"
"Td00001aa003158","Zm00001eb259660",-0.734038140501174,-0.639608215462418,0.428134982976027,"NS","NS","NS"
"Td00001aa003180","Zm00001eb259450",0.215635595233187,-0.830078637766013,0.161140914875362,"NS","NS","NS"
"Td00001aa003200","Zm00001eb259320",-0.454733992504537,0.263908851801946,0.709079094726693,"NS","NS","NS"
"Td00001aa003202","Zm00001eb259300",-0.247912141495556,0.0324442050589216,0.964026847455525,"NS","NS","NS"
"Td00001aa003203","Zm00001eb259290",0.650810840890723,-0.186224094506274,0.829569033845008,"NS","NS","NS"
"Td00001aa003210","Zm00001eb259220",-0.0850780500338677,0.264836902760715,0.687021121413486,"NS","NS","NS"
"Td00001aa003242","Zm00001eb258950",0.494566915896719,0.433449642832787,0.508495737081424,"NS","NS","NS"
"Td00001aa003249","Zm00001eb258880",-0.353030113403889,0.343064168741849,0.581840801692139,"NS","NS","NS"
"Td00001aa003250","Zm00001eb258870",-0.151312239521834,0.448650934404046,0.389191364231315,"NS","NS","NS"
"Td00001aa003262","Zm00001eb258770",-0.0689767188679,0.715428229258164,0.194272777381874,"NS","NS","NS"
"Td00001aa003276","Zm00001eb258600",0.409249790225637,0.391757411506839,0.494973131603022,"NS","NS","NS"
"Td00001aa003277","Zm00001eb258590",1.52185971415247,-0.47966918650283,0.414564370411686,"Up","NS","NS"
"Td00001aa003303","Zm00001eb258320",-0.0257286429508988,-0.0460418864865264,0.94972224934645,"NS","NS","NS"
"Td00001aa003309","Zm00001eb258260",0.0800442269591797,0.196928512793298,0.865939382789741,"NS","NS","NS"
"Td00001aa003317","Zm00001eb258200",0.0663808464607784,0.716804293751568,0.617477953113236,"NS","NS","NS"
"Td00001aa003331","Zm00001eb258070",1.02445382688676,0.630437015404613,0.444999285333257,"Up","NS","NS"
"Td00001aa003346","Zm00001eb257930",-0.604758510864178,0.161536365524969,0.763580792544817,"NS","NS","NS"
"Td00001aa003349","Zm00001eb257910",0.221705811449564,0.069308205763902,0.943373264761713,"NS","NS","NS"
"Td00001aa003359","Zm00001eb056620",-0.157821926768913,0.536482813224643,0.312124800764669,"NS","NS","NS"
"Td00001aa003400","Zm00001eb257410",-0.961309003256273,-0.195888108457627,0.844317454304164,"NS","NS","NS"
"Td00001aa003426","Zm00001eb257130",0.96446776482182,-1.46150764623951,0.0279529959600655,"NS","Down","NS"
"Td00001aa003441","Zm00001eb256970",-0.37785574474262,-0.167936819987623,0.773276156138013,"NS","NS","NS"
"Td00001aa003479","Zm00001eb256470",-0.341443816333266,0.140796238583374,0.879735711967864,"NS","NS","NS"
"Td00001aa003480","Zm00001eb256460",2.0050720291717,-1.13781882101981,0.318606067671357,"Up","NS","NS"
"Td00001aa003508","Zm00001eb256150",-0.518455933482184,0.224731527252374,0.705547274960737,"NS","NS","NS"
"Td00001aa003516","Zm00001eb256020",-0.109957765312247,0.42728040262313,0.3423584510582,"NS","NS","NS"
"Td00001aa003538","Zm00001eb255720",0.153811795295835,0.349695876934362,0.467283354105514,"NS","NS","NS"
"Td00001aa003542","Zm00001eb255690",0.0920232926096558,0.482788155715948,0.324457587210663,"NS","NS","NS"
"Td00001aa003543","Zm00001eb255680",-0.449503004581859,0.0583406925018295,0.930845548008745,"NS","NS","NS"
"Td00001aa003547","Zm00001eb255600",-0.0141687218222595,0.387879562308297,0.388396338471914,"NS","NS","NS"
"Td00001aa003563","Zm00001eb255450",0.654980714230568,0.375782800291598,0.409716117664337,"NS","NS","NS"
"Td00001aa003578","Zm00001eb255240",0.762265732358543,0.526155548331398,0.308437676354908,"NS","NS","NS"
"Td00001aa003586","Zm00001eb255140",-0.966880928098052,-1.1432689041641,0.0904885856057447,"NS","NS","NS"
"Td00001aa003625","Zm00001eb254530",0.56663805755954,0.280341061965272,0.713072236383291,"NS","NS","NS"
"Td00001aa003659","Zm00001eb254090",0.843324849465243,-0.207696335602229,0.824320202892234,"NS","NS","NS"
"Td00001aa003666","Zm00001eb253990",-0.680186707982186,0.22952252647833,0.71520327006484,"NS","NS","NS"
"Td00001aa003679","Zm00001eb253890",-0.362878217327737,0.538611825720879,0.375171570056922,"NS","NS","NS"
"Td00001aa003685","Zm00001eb253820",-0.261266127012302,-0.352448046919787,0.55293129630634,"NS","NS","NS"
"Td00001aa003686","Zm00001eb253810",0.387876254436856,0.36786728676469,0.488227118654368,"NS","NS","NS"
"Td00001aa003712","Zm00001eb253620",-0.265268541172873,-0.0851437530567904,0.939967223096548,"NS","NS","NS"
"Td00001aa003754","Zm00001eb253200",0.273477530219512,-0.0655850985374766,0.931242297780411,"NS","NS","NS"
"Td00001aa003762","Zm00001eb253140",-0.249213746683421,0.119826396386007,0.871296730712674,"NS","NS","NS"
"Td00001aa003775","Zm00001eb252990",-0.142445270002543,0.246268670777281,0.785454737312891,"NS","NS","NS"
"Td00001aa003788","Zm00001eb189380",-0.0465381769007811,0.45737846795712,0.369444360912827,"NS","NS","NS"
"Td00001aa003795","Zm00001eb252830",0.155266617064828,0.0359416497535309,0.95722980466878,"NS","NS","NS"
"Td00001aa003797","Zm00001eb252790",0.296910471968786,0.251235442482394,0.880597455578162,"NS","NS","NS"
"Td00001aa003812","Zm00001eb252660",-0.34799506291054,0.706405592684015,0.0872542625463477,"NS","NS","NS"
