qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
Sn00001aa000144_T001	MF	0004048	anthranilate phosphoribosyltransferase activity	11.6453949569	0.800200078397	1	4
Sn00001aa000144_T001	BP	0000162	tryptophan biosynthetic process	8.61445585268	0.730867710321	1	4
Sn00001aa000144_T001	CC	0005829	cytosol	1.05466053877	0.453815560306	1	1
Sn00001aa000544_T001	MF	0003924	GTPase activity	6.62718937455	0.678493122825	1	7
Sn00001aa000544_T001	CC	0005768	endosome	2.49055221189	0.533847140295	1	2
Sn00001aa000544_T001	MF	0005525	GTP binding	5.98517695549	0.659926301334	2	7
Sn00001aa000544_T001	CC	0005794	Golgi apparatus	2.17980877053	0.519075827699	2	2
Sn00001aa000746_T001	MF	0005200	structural constituent of cytoskeleton	10.009160042	0.764072965609	1	98
Sn00001aa000746_T001	CC	0005874	microtubule	7.77515491854	0.709575168606	1	100
Sn00001aa000746_T001	BP	0007017	microtubule-based process	7.16235426199	0.69329259051	1	100
Sn00001aa000746_T001	BP	0007010	cytoskeleton organization	6.65583257106	0.679300032473	2	98
Sn00001aa000746_T001	MF	0005525	GTP binding	5.98811858824	0.660013585049	2	100
Sn00001aa000746_T001	BP	0000278	mitotic cell cycle	0.944759312667	0.445832556058	7	12
Sn00001aa000746_T001	CC	0005737	cytoplasm	0.477207139833	0.405004422721	13	31
Sn00001aa000746_T001	MF	0016787	hydrolase activity	2.20829443786	0.520472009225	15	98
Sn00001aa000746_T001	MF	0046872	metal ion binding	0.69332355406	0.425602308593	21	28
Sn00001aa001175_T001	MF	0046537	2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity	11.2307340261	0.791298412144	1	95
Sn00001aa001175_T001	BP	0006007	glucose catabolic process	11.0299105917	0.78692820967	1	100
Sn00001aa001175_T001	CC	0005737	cytoplasm	1.53840652729	0.484795214682	1	100
Sn00001aa001175_T001	MF	0030145	manganese ion binding	8.5327779065	0.728842544334	4	100
Sn00001aa001175_T001	CC	0016020	membrane	0.00883491186145	0.318347959561	4	1
Sn00001aa001175_T001	BP	0006096	glycolytic process	7.55059228838	0.703685512569	5	99
Sn00001aa001175_T001	MF	0008270	zinc ion binding	0.0495230775172	0.33701249022	14	1
Sn00001aa001519_T001	BP	0034605	cellular response to heat	9.34601476924	0.748594585708	1	96
Sn00001aa001519_T001	MF	0016887	ATP hydrolysis activity	4.60075848585	0.616144979391	1	100
Sn00001aa001519_T001	CC	0005737	cytoplasm	1.5384122167	0.484795547699	1	100
Sn00001aa001519_T001	BP	0042026	protein refolding	9.03604109716	0.741171323105	2	100
Sn00001aa001519_T001	CC	0043231	intracellular membrane-bounded organelle	0.460024561852	0.403182060491	5	18
Sn00001aa001519_T001	MF	0005524	ATP binding	3.05186053415	0.558358230136	7	100
Sn00001aa001519_T001	BP	0009658	chloroplast organization	0.11746370384	0.354464364425	20	1
Sn00001aa002111_T004	MF	0005509	calcium ion binding	6.91713039826	0.68658235999	1	2
Sn00001aa003072_T001	BP	0030245	cellulose catabolic process	10.2854675911	0.770370403442	1	100
Sn00001aa003072_T001	MF	0008810	cellulase activity	6.41176414647	0.672367621597	1	54
Sn00001aa003072_T001	CC	0016020	membrane	0.505699555458	0.407955430635	1	56
Sn00001aa003072_T001	CC	0098827	endoplasmic reticulum subcompartment	0.223243833712	0.373305092201	3	3
Sn00001aa003072_T001	CC	0005576	extracellular region	0.0601612400566	0.340314348661	11	1
Sn00001aa003072_T001	BP	0140042	lipid droplet formation	0.466361862446	0.403858084897	16	3
Sn00001aa003072_T001	BP	0006629	lipid metabolic process	0.142857685214	0.359580545658	29	3
Sn00001aa003072_T001	BP	0071555	cell wall organization	0.0731679209793	0.343975974905	32	1
Sn00001aa004579_T001	BP	0009737	response to abscisic acid	11.9812398776	0.807294229562	1	10
Sn00001aa004579_T001	BP	0006950	response to stress	2.53544250839	0.535903018627	9	5
Sn00001aa004935_T002	MF	0042085	5-methyltetrahydropteroyltri-L-glutamate-dependent methyltransferase activity	11.713241104	0.801641375542	1	100
Sn00001aa004935_T002	BP	0009086	methionine biosynthetic process	8.05906426878	0.716900890758	1	100
Sn00001aa004935_T002	CC	0005829	cytosol	0.07203417646	0.34367049427	1	2
Sn00001aa004935_T002	MF	0008172	S-methyltransferase activity	9.66791443382	0.756174281355	3	100
