qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
Td00001aa000108_T001	479.302612094	41.1942854804	68	45179	0.834432342581	0.0994542235335	2.79635189824e-05	Peptidase A1 domain-containing protein	
Td00001aa000108_T001	566.959145762	0.724819761682	1	4	0.81824421974	0.00275577468227	4.26689584621e-08	Nucleoid DNA-binding-like protein	
Td00001aa000108_T001	554.484643809	6.57782267055	11	861	0.818205473309	0.0120972842539	2.75654908929e-06	Aspartic proteinase nepenthesin-1	
Td00001aa000108_T001	458.335658375	8.50588186183	14	2107	0.778710464011	0.0101436368713	3.6559638111e-06	Aspartyl protease AED3	
Td00001aa000108_T001	38.5509462114	0.573633563199	1	1353	0.607596036295	0.00410500901976	1.51476347593e-07	(wild Malaysian banana) hypothetical protein (Fragment)	
Td00001aa000125_T004	2487.1397321	2.69007547351	4	11	1.68553032332	0.189951200258	1.47169133229e-05	Beta-glucosidase 26	
Td00001aa000125_T004	939.09141209	6.66759779185	11	474	1.08780699772	0.23051024121	2.52376502942e-07	Beta-glucosidase 1	
Td00001aa000125_T004	612.828891933	0.631986826473	1	6	0.857874165299	0.0429105816499	1.25578004071e-08	Beta-glucosidase 4 (Fragment)	
Td00001aa000125_T004	269.201253182	25.3896403895	40	83582	0.702216106659	0.00855769428476	1.37076634387e-06	Beta-glucosidase	
Td00001aa000125_T004	0	0.605933476874	1	1	0.610916924611	0.0394658940041	3.94324657821e-08	Beta-glucosidase 1-like isoform X1	
Td00001aa000236_T001	1460.05457559	1.83536909837	3	8	1.17402183024	0.0	0.0	RNA-binding protein CP29B, chloroplastic-like	
Td00001aa000236_T001	1394.89851283	5.17199094175	8	87	1.1604587508	0.0235836160284	1.45860367948e-06	29 kDa ribonucleoprotein A, chloroplastic	
Td00001aa000236_T001	254.27127663	47.4395798362	78	219983	0.936513606935	0.46189056869	0.000154743855157	RRM domain-containing protein	
Td00001aa000236_T001	126.432501796	0.666803849776	1	176	0.641644557197	0.00202180466465	3.2223164803e-10	RNA binding protein 1	
Td00001aa000441_T001	774.050414508	1.74324676664	3	179	0.906443132662	0.012870870692	7.02696116601e-05	Fruit bromelain	
Td00001aa000441_T001	480.097292713	1.23623834298	2	234	0.814388805915	0.0610329699468	0.000120737918941	Cysteine proteinases superfamily protein	
Td00001aa000441_T001	252.253562554	5.13249870878	10	14607	0.722485890757	0.0595926816482	1.72230864384e-05	Peptidase C1A papain C-terminal domain-containing protein	
Td00001aa000441_T001	236.025345527	2.62599803412	5	4368	0.703370804718	0.0357745918681	6.64087028793e-06	Cathepsin propeptide inhibitor domain-containing protein	
Td00001aa000441_T001	28.3656775404	0.50974237237	1	11371	0.606789053046	0.0102693986947	3.60851074035e-08	Cysteine protease	
Td00001aa000549_T001	987.435168598	58.042288046	98	21504	1.06325810606	0.147704546136	3.14583758867e-05	Tubulin alpha chain	
Td00001aa000669_T001	159.623586872	24.0131604022	45	350097	1.11903418919	0.877706111732	2.57612584443e-05	Glycosyltransferase	
Td00001aa000669_T001	351.262595247	0.598543224597	1	45	0.745269738006	0.027839493705	0.000488412170263	UDP-glycosyltransferase 88B1	
Td00001aa000669_T001	178.562454389	0.53090548656	1	137	0.670113901969	0.0163939944792	5.15696586324e-06	Anthocyanidin 5,3-O-glucosyltransferase	
Td00001aa000669_T001	32.3007270547	0.543088334623	1	4373	0.602920290822	0.0	0.0	UDP-glycosyltransferases domain-containing protein	
Td00001aa000735_T001	390.945154076	2.99590779055	6	8404	0.793821730188	0.0895158058366	1.45731877633e-05	X8 domain-containing protein	
Td00001aa000821_T001	1216.1614552	44.7149245835	72	8404	1.2973783501	0.416787704299	0.000814237273358	X8 domain-containing protein	
Td00001aa000821_T001	706.281265308	9.20507067537	15	1056	0.877239235744	0.00891833358609	6.40984362531e-07	Glucan endo-1,3-beta-glucosidase 1	
Td00001aa000821_T001	116.027775947	1.40011435103	2	905	0.636411110379	0.0	0.0	Beta-1,3-glucanase	
Td00001aa000911_T001	442.9319899	44.5485428265	72	64729	0.90960795413	0.26874032895	0.000139191332422	C2 domain-containing protein	
Td00001aa000911_T001	577.569116589	3.12999141114	5	188	0.832719241739	0.022059612905	1.31866343435e-08	FT-interacting protein 1	
Td00001aa000911_T001	568.210330403	1.89232712289	3	71	0.823215872061	0.0111919618593	5.73730607786e-09	FT-interacting protein 3	
Td00001aa000911_T001	577.255515405	2.93955793024	5	166	0.820902206162	0.0	0.0	FT-interacting protein 1-like	
Td00001aa000911_T001	210.53559174	0.649911947661	1	61	0.675737426908	0.00287394368312	2.99444930656e-09	FT-interacting protein 7	
Td00001aa000911_T001	9.20482648494	0.727964609284	1	38975	0.613242400017	0.036906527405	4.94899140312e-07	Anthranilate phosphoribosyltransferase	
Td00001aa000920_T002	777.015599958	48.811092261	79	27997	1.15456220301	0.478780421428	0.000116983747859	Amidase domain-containing protein	
Td00001aa000967_T002	2261.65533321	6.06981436428	10	64	1.51744347839	0.0429834616652	5.52104638202e-06	High mobility group B protein 2	
Td00001aa000967_T002	478.788341044	32.1135520618	52	39963	0.915972580656	0.253687975463	0.000130862179922	HMG box domain-containing protein	
Td00001aa000967_T002	630.938744995	0.669339722906	1	2	0.84532921004	0.0055730413896	5.2559881946e-09	HMG-like nucleosome/chromatin assembly factor D	
Td00001aa001138_T001	893.110370559	57.7185846958	90	22680	1.15078874992	0.384003977522	0.00112468050583	Endoglucanase	
Td00001aa001138_T001	409.156683742	3.15059832497	5	322	0.770938724557	0.0325963099029	3.40569809682e-07	Glycoside hydrolase family 9 domain-containing protein	
Td00001aa001138_T001	10.8076101765	0.597792082101	1	16357	0.595149700929	0.00155972809811	4.83276971592e-08	cellulase	
Td00001aa001268_T005	2739.17278998	3.76700431843	7	34	1.8715447783	0.350706381242	6.4012533407e-05	Beta-glucosidase 31	
Td00001aa001268_T005	996.592068215	3.04657008796	5	168	1.2530420681	0.498877500113	8.28760740176e-06	Beta-glucosidase 11	
Td00001aa001268_T005	215.76587258	14.7085095377	27	83478	0.676306349032	0.0	0.0	4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucosidebeta-D-glucosidase	
Td00001aa001507_T002	1789.14739785	62.140499256	98	6547	1.34708619049	0.0781600414652	0.000120468663105	Coatomer subunit zeta	
Td00001aa001511_T001	378.309164181	56.6055062739	97	143894	0.938961440114	0.372899458027	5.30843391841e-05	glutathione transferase	
Td00001aa001541_T001	3203.39751246	4.17408650675	7	28	1.92187371094	0.0952711097541	0.00105088912585	Tuliposide A-converting enzyme 2, chloroplastic	
Td00001aa001541_T001	1568.92400777	3.66518141911	6	90	1.26742840814	0.0940325605917	0.00107739615427	Gibberellin receptor	
Td00001aa001541_T001	623.552689168	1.90549679882	3	154	0.856437212644	0.0321058975436	5.63949265455e-07	Putative carboxylesterase 2	
Td00001aa001541_T001	244.350695528	11.3001333328	19	35253	0.817661177915	0.245133730124	1.13687400407e-06	Alpha/beta hydrolase fold-3 domain-containing protein	
Td00001aa001541_T001	35.8785797011	0.515502634156	1	3400	0.609177183542	0.00910519151751	7.86837026407e-09	Alpha/beta-Hydrolases superfamily protein	
Td00001aa001592_T001	1007.96094808	14.305689543	22	1129	1.01166003748	0.0348597211604	3.01667791334e-07	1-aminocyclopropane-1-carboxylate oxidase (Fragment)	
Td00001aa001592_T001	395.741205758	44.6109984816	70	71187	0.844627653112	0.181753468261	9.163152527e-05	Fe2OG dioxygenase domain-containing protein	
Td00001aa001592_T001	499.365127595	0.66700600418	1	3	0.790625270789	0.00165765413091	3.31530826183e-05	1-aminocyclopropane-1-carboxylate oxidase2	
Td00001aa001700_T002	702.294154069	17.5389318718	29	4866	0.871125150636	0.000391488179851	1.3653150427e-08	Tetraspanin-8	
Td00001aa001700_T002	674.732729256	14.9182969739	24	3814	0.859893091702	0.0	0.0	Senescence-associated protein	
Td00001aa001700_T002	186.175646013	11.6836094434	19	30700	0.832578750588	0.317181373215	0.000118218924046	Tetraspanin	
Td00001aa001700_T002	79.5594931369	0.588639082255	1	427	0.642031736319	0.0381281867828	3.49017247589e-09	Tetraspanin-8 like	
Td00001aa001759_T002	351.940865035	62.7748166269	97	167348	0.92550975912	0.367421131248	1.0677227819e-05	Methyltransferase	
Td00001aa001768_T001	4417.69923389	61.7855455315	93	1003	2.42033150419	0.119312886522	0.000799038681505	60S ribosomal protein L34	
Td00001aa001768_T001	143.888157374	1.17176469828	2	340	0.661577332532	0.0264566872454	1.26713116408e-06	Ribosomal protein L34e	
Td00001aa001856_T001	1526.16145985	2.03095077084	3	9	1.30111798004	0.189910186448	4.98639889787e-05	Alpha-amylase type A isozyme	AMY2
Td00001aa001856_T001	596.416079312	57.9917692843	92	53373	0.828566431725	0.0	0.0	Alpha-amylase	AMY2
Td00001aa002093_T001	1063.04990101	1.21191379899	2	15	1.05110278113	0.0676889073076	0.000384992498463	E2 ubiquitin-conjugating protein UBC5	
Td00001aa002093_T001	630.041035229	10.8459895253	18	3420	0.908555421865	0.125545159919	3.65081090978e-06	Ubiquitin-conjugating enzyme	
Td00001aa002093_T001	332.501971044	15.967823276	25	26608	0.865592767814	0.269036852204	0.000122386386042	UBC core domain-containing protein	
Td00001aa002093_T001	214.364152623	1.76575620815	3	783	0.675745661049	0.0	0.0	Ubiquitin-conjugating enzyme/RWD-like protein	
Td00001aa002186_T003	205.230946329	29.2360016368	47	176468	0.695442459225	0.044055663772	2.89446924423e-05	Short-chain dehydrogenase TIC 32, chloroplastic	
Td00001aa002186_T003	0	0.685596064908	1	1	0.68377003272	0.176919593506	0.000132408083024	Short-chain dehydrogenase Tic32	
Td00001aa002186_T003	117.988099575	4.99658511269	8	15600	0.640981448829	0.00714378797694	6.85371426447e-08	Short-chain dehydrogenase/reductase	
Td00001aa002186_T003	45.0626913973	0.603812315342	1	1562	0.608203818962	0.000337249805298	2.9143882745e-10	NAD(P)-binding Rossmann-fold superfamily protein	
Td00001aa002186_T003	18.3054582876	3.19083651431	5	257127	0.605245132258	0.0149489460474	3.76915849192e-07	WW domain-containing oxidoreductase	
Td00001aa002186_T003	36.3109405272	0.615822153085	1	2501	0.604524376211	0.0	0.0	Short-chain dehydrogenase/reductase family protein	
Td00001aa002280_T001	3065.87710806	44.5768810509	72	1635	2.06768752928	0.473710911894	0.0134951375074	Fiber protein Fb34	
Td00001aa002316_T001	440.247452208	25.1189519054	42	46132	0.766098980883	0.0	0.0	Alpha-galactosidase	LOC100191564
Td00001aa002372_T002	2773.55669218	63.2158192598	97	2696	1.92360856254	0.422960053806	0.000852857295837	Starch synthase, chloroplastic/amyloplastic	GBSS2
Td00001aa002603_T003	528.180909701	0.554422470317	1	2	0.8480637383	0.0882677807291	0.000472531665366	Chloroplast mRNA-binding protein CSP41 (Fragment)	
Td00001aa002603_T003	153.372410848	14.8701802267	25	85169	0.714268846015	0.118714735569	5.35911876928e-05	Chloroplast stem-loop binding protein of 41 kDa a, chloroplastic	
Td00001aa002603_T003	208.689053547	22.8476323627	38	108650	0.673475621419	0.0	0.0	NAD-dependent epimerase/dehydratase domain-containing protein	
Td00001aa002603_T003	154.096082097	0.569608418656	1	124	0.65529093215	0.00689150790401	6.09867488484e-09	NAD dependent epimerase/dehydratase, putative	
Td00001aa002603_T003	8.07284880351	0.579084486217	1	45373	0.596965268533	0.00704930001666	1.54254364655e-10	NAD(P)-binding domain containing protein	
Td00001aa002733_T002	759.778062682	11.5444052136	20	7127	1.35273707894	0.865627331632	0.00216840513935	H15 domain-containing protein	
Td00001aa002733_T002	90.6386264908	0.505759467961	1	961	0.630463402823	0.007939524838	2.03136168222e-07	Histone H1-like nucleoprotein HC2	
Td00001aa002742_T001	2657.74272266	5.48799375282	9	56	1.70974369139	0.106879953779	1.13414114143e-05	Xylanase inhibitor protein 1	
Td00001aa002742_T001	627.621968704	21.5796639098	37	15525	1.10838858588	0.504376530164	0.00101187071605	GH18 domain-containing protein	
Td00001aa002742_T001	0	0.588020736925	1	1	0.598106864936	0.01529588399	2.32106050109e-06	Class III endochitinase	
Td00001aa002847_T001	5.09813889892e-13	0.535168014132	1	153	0.59	0.0	0.0	Cylicin-1	
Td00001aa003164_T002	1629.67498389	63.8341995842	99	7978	1.52396617478	0.532256611426	8.85844178681e-06	1,3-beta-glucan synthase	
Td00001aa003277_T001	589.137815613	0.657318628166	1	9	1.09169306352	0.501958276716	2.53093736527e-06	Phloem-specific lectin	
Td00001aa003277_T001	347.355724313	0.648507661641	1	28	0.728942289725	0.0	0.0	F-box family protein-like	
Td00001aa003277_T001	26.2721508714	1.12579208706	2	14669	0.675805573611	0.142069264761	1.46928407593e-07	F-box associated domain-containing protein	
Td00001aa003277_T001	186.06648527	43.6839080176	76	441769	0.664426594108	0.0	0.0	F-box domain-containing protein	
Td00001aa003331_T001	1501.03249661	48.114295972	77	6471	1.32795568743	0.259489198458	0.000670680140968	CobW C-terminal domain-containing protein	
Td00001aa003331_T001	1060.38037854	1.84174579549	3	19	1.02198999755	0.0147881088624	7.42203243427e-06	Plastid transcriptionally active 17	
Td00001aa003331_T001	387.764090586	1.18683158556	2	59	0.764455141059	0.0365052789989	8.53477371496e-05	Putative cobalamin (Vitamin B12) biosynthesis CobW	
Td00001aa003331_T001	90.599189575	0.596548623298	1	273	0.627294005885	0.00198930198878	4.3224289049e-11	CobW/HypB/UreG, nucleotide-binding domain	
Td00001aa003331_T001	57.5541541506	0.584400760259	1	649	0.615115102222	0.00394977769168	2.9192739776e-06	Putative GTP-binding protein YjiA	
Td00001aa003331_T001	44.7709711761	1.28873044756	2	5208	0.60790838847	0.0	0.0	CobW/HypB/UreG nucleotide-binding domain-containing protein	
Td00001aa003331_T001	0	0.724989501097	1	1	0.594869382367	0.00918751383662	1.69722633209e-09	PRLI-interacting factor L-like	
Td00001aa003350_T001	2175.73355857	62.9133911863	95	4164	1.51849748799	0.109797882503	0.000559341599229	DNA replication licensing factor MCM5	
Td00001aa003350_T001	20.1970146639	1.98156020539	3	47259	0.609190885136	0.0209661739166	3.5471613094e-07	DNA helicase	
Td00001aa003400_T002	530.962021448	45.1915415821	73	55246	1.0326820403	0.434520253042	7.48804461773e-05	Diacylglycerol kinase	
Td00001aa003426_T001	1795.83081606	1.95989574425	3	67	1.37089489191	0.118042549105	7.23243910893e-07	18 class III heat shock protein	
Td00001aa003426_T001	166.086804465	3.8950926666	6	30930	0.784553202343	0.241731327309	4.38541397472e-05	SHSP domain-containing protein	
Td00001aa003480_T001	538.377519474	40.7225880213	67	39779	1.04595947597	0.453963032729	0.000403041452234	UspA domain-containing protein	
Td00001aa003480_T001	334.516840697	9.08460391255	16	5128	0.769907446285	0.0869743668127	0.000214779781311	Universal stress protein PHOS32	
Td00001aa003480_T001	293.211614097	0.65778125659	1	35	0.713408608977	0.0115546471497	1.74238269222e-08	Adenine nucleotide alpha hydrolase-like superfamily protein	
Td00001aa003480_T001	148.954975219	0.544721958127	1	93	0.652926645724	0.00631066791917	8.19561535271e-08	Rossmann-like alpha/beta/alpha sandwich fold	
Td00001aa003491_T001	925.995310638	10.261195968	16	749	0.971667423604	0.021262815859	3.47164732329e-07	1-aminocyclopropane-1-carboxylate oxidase 1	
