qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
Misin01G018500.1.v7.1	MF	0004335	galactokinase activity	12.2943469369	0.813819051152	1	100
Misin01G018500.1.v7.1	BP	0006012	galactose metabolic process	9.65819179675	0.755947209386	1	100
Misin01G018500.1.v7.1	CC	0005829	cytosol	3.41890238383	0.573178780753	1	95
Misin01G018500.1.v7.1	BP	0046835	carbohydrate phosphorylation	8.8314333449	0.736201404943	2	100
Misin01G018500.1.v7.1	CC	0016020	membrane	0.00843081856321	0.318032189805	5	1
Misin01G018500.1.v7.1	MF	0005524	ATP binding	3.05184381095	0.558357535153	6	100
Misin01G018500.1.v7.1	MF	0033858	N-acetylgalactosamine kinase activity	0.401888884732	0.39674911424	24	2
Misin01G032900.1.v7.1	MF	0003924	GTPase activity	6.63034496823	0.678582104652	1	100
Misin01G032900.1.v7.1	CC	0005794	Golgi apparatus	6.47755660287	0.67424916447	1	100
Misin01G032900.1.v7.1	BP	0016192	vesicle-mediated transport	6.05521885823	0.661998784488	1	100
Misin01G032900.1.v7.1	MF	0005525	GTP binding	5.98802684939	0.660010863311	2	100
Misin01G032900.1.v7.1	BP	0015031	protein transport	5.44822983635	0.6436177593	2	100
Misin01G032900.1.v7.1	CC	0016020	membrane	0.00923945278717	0.318656924901	10	1
Misin01G032900.1.v7.1	BP	0046907	intracellular transport	0.906347075848	0.442933684947	13	15
Misin01G106600.1.v7.1	MF	0140662	ATP-dependent protein folding chaperone	8.53760899217	0.728962597793	1	100
Misin01G106600.1.v7.1	BP	0006457	protein folding	6.54921498426	0.676287622886	1	100
Misin01G106600.1.v7.1	CC	0005783	endoplasmic reticulum	5.81106830058	0.654721407094	1	96
Misin01G106600.1.v7.1	MF	0005524	ATP binding	3.05184870555	0.558357738563	4	100
Misin01G106600.1.v7.1	BP	0036503	ERAD pathway	2.10201483853	0.515215707066	6	19
Misin01G106600.1.v7.1	BP	0030968	endoplasmic reticulum unfolded protein response	2.07943485522	0.514081967299	7	19
Misin01G106600.1.v7.1	CC	0070013	intracellular organelle lumen	1.13900458576	0.459663477122	11	21
