baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Td00001aa000001	113.771030575839	-0.311594348948319	0.111950148007218	-2.78333128177936	0.00538038377887466	0.0128625435536567
Td00001aa000002	0	NA	NA	NA	NA	NA
Td00001aa000003	0.0316903286606624	-0.448275660479804	2.95585139190588	-0.151657035839939	0.879457445537651	0.99785962308036
Td00001aa000004	0.026006398966248	-0.326867850389173	2.9559456100977	-0.110579791885403	0.911949572932937	0.99785962308036
Td00001aa000005	3.51421350466112	0.392924136273611	0.423152315382459	0.928564306492033	0.353114926952473	0.546947002640519
Td00001aa000006	108.050660442804	0.38213494373224	0.14320568815161	2.66843411504492	0.00762057230540189	0.017699953707212
Td00001aa000007	81.5173863434032	1.63131075529048	0.135250967987207	12.0613610354698	1.6896729747239e-33	5.56342427687998e-32
Td00001aa000008	25.0825596711202	-1.20003212799553	0.352102332377772	-3.40819136269739	0.000653950164407475	0.00180703826792166
Td00001aa000009	0	NA	NA	NA	NA	NA
Td00001aa000010	0	NA	NA	NA	NA	NA
Td00001aa000011	0	NA	NA	NA	NA	NA
Td00001aa000012	0	NA	NA	NA	NA	NA
Td00001aa000013	1.10787098929706	-0.987067610537854	0.775450693016283	-1.27289538771117	0.203055166158237	0.34180268117455
Td00001aa000014	0.434630950001035	0.62870793609317	1.13147312990099	0.555654323093104	0.578447187640888	0.809765185030173
Td00001aa000015	1.56822021322205	0.137476822961747	0.603141425575331	0.227934638763387	0.819697053584985	0.99785962308036
Td00001aa000016	0.0447592415315533	0.0971162907708553	2.9559445358776	0.0328545713872883	0.973790560001209	0.99785962308036
Td00001aa000017	98.913668157144	0.0268806817903616	0.0819010594937325	0.328209207017874	0.742753486896952	0.970009353000458
Td00001aa000018	30.5055688370434	0.47699980163843	0.50947612784661	0.936255450583236	0.349141679400085	0.541884481201869
Td00001aa000019	0	NA	NA	NA	NA	NA
Td00001aa000020	0.156871679265444	0.372775473549627	2.95327899636016	0.126224265979971	0.899554403512181	0.99785962308036
Td00001aa000021	29.387537659914	0.904735705914663	0.363070076767154	2.4919038053772	0.0127060444244329	0.0282695402415639
Td00001aa000022	2.91850994853513	-0.154985731900312	0.617351371067476	-0.251049465772341	0.801775865333089	0.99785962308036
Td00001aa000023	7.57287647120946	0.52250382872244	0.321614295139193	1.62462874511316	0.104241688400587	0.189868360530953
Td00001aa000024	8.31402580080073	-0.327423472293868	0.405694786718919	-0.807068473671858	0.419627034264207	0.62982201040507
Td00001aa000025	229.206468268707	0.776925297921896	0.230722416555126	3.36735939889163	0.000758917138489702	0.00208071921506817
Td00001aa000026	0.877259862208071	1.45891249427219	1.13079466864242	1.29016569915712	0.196993132756047	0.332963423192546
Td00001aa000027	110.320344804264	1.85053017878354	0.301119511553477	6.1455007323725	7.97116454233272e-10	4.34339837991027e-09
Td00001aa000028	0	NA	NA	NA	NA	NA
