Ag00001aa009144_T001	sp|P35493|PMGI_RICCO	82.2	0.0	945
Ag00001aa009716_T001	sp|Q10P60|HS26P_ORYSJ	79.2	9.54e-120	343
Ag00001aa012571_T001	sp|Q6YZX6|ACOHC_ORYSJ	82.0	0.0	1538
Ag00001aa012894_T001	sp|P33679|ZEAM_MAIZE	91.3	3.05e-158	440
Ag00001aa013246_T001	sp|P42813|RNS1_ARATH	42.4	5.89e-67	209
Ag00001aa014453_T001	sp|P27777|HS16A_ORYSJ	85.5	1.58e-88	257
Ag00001aa015316_T001	sp|P84516|PER1_SORBI	92.0	1.07e-208	578
Ag00001aa019394_T001	sp|P09189|HSP7C_PETHY	89.5	0.0	1147
Ag00001aa022279_T001	sp|P09189|HSP7C_PETHY	90.8	0.0	1152
Ag00001aa047463_T001	sp|Q0JIL1|NRX2_ORYSJ	82.8	2.66e-242	666
Ag00001aa052871_T001	sp|Q7XUW5|HS232_ORYSJ	68.6	2.43e-88	262
Ag00001aa064445_T001	sp|Q9Z729|Y877_CHLPN	36.0	5.28e-24	95.1
Ag00001aa064448_T001	sp|P28516|PDC1_MAIZE	93.3	0.0	1152
Ag00001aa064944_T001	sp|Q42376|LEA3_MAIZE	77.6	9.61e-20	86.3
Ag00001aa069057_T001	sp|Q9Z729|Y877_CHLPN	34.7	7.33e-21	86.7
Ag00001aa069574_T002	sp|Q42376|LEA3_MAIZE	74.6	2.91e-17	79.7
Ag00001aa071693_T001	sp|Q84TB6|ADF3_ORYSJ	78.4	1.31e-77	229
Ag00001aa076340_T001	sp|P28522|RIPX_MAIZE	45.7	4.53e-64	205
Ag00001aa078823_T001	sp|P27777|HS16A_ORYSJ	88.2	6.98e-92	266
Ag00001aa097918_T001	sp|P27777|HS16A_ORYSJ	88.7	5.51e-91	263
Ag00001aa097924_T001	sp|P27777|HS16A_ORYSJ	85.5	1.35e-89	260
Ag00001aa099855_T001	sp|P02879|RICI_RICCO	47.9	2.75e-154	459
Ag00001aa100594_T001	sp|B7EZJ7|HS23M_ORYSJ	60.2	3.14e-74	226
Ag00001aa102742_T001	sp|Q10P60|HS26P_ORYSJ	81.2	1.22e-122	351
Ag00001aa104490_T001	sp|P23901|ALDR_HORVU	90.3	1.43e-222	610
Ag00001aa106444_T001	sp|P09444|LEA34_GOSHI	47.4	1.60e-20	88.6
Ag00001aa110604_T001	sp|Q0D840|TRXH1_ORYSJ	72.7	1.39e-55	172
Ag00001aa111933_T001	sp|Q42376|LEA3_MAIZE	76.1	2.19e-19	84.7
Ag00001aa114791_T001	sp|Q6Z6L5|HSP19_ORYSJ	71.4	4.23e-79	236
Ag00001aa116892_T001	sp|P04399|RIP2_HORVU	53.7	2.06e-92	278
Ag00001aa118595_T001	sp|P27777|HS16A_ORYSJ	85.5	3.87e-89	259
Ag00001aa120298_T001	sp|Q9SLP4|CHIT1_TULSB	53.0	5.23e-93	280
Ag00001aa122642_T001	sp|P01053|ICI2_HORVU	61.9	2.23e-19	80.1
Ag00001aa123995_T001	sp|Q7XUW5|HS232_ORYSJ	73.2	9.71e-97	283
Ag00001aa124402_T001	sp|P29022|CHIA_MAIZE	87.3	2.50e-177	492
Ag00001aa129885_T002	sp|P09444|LEA34_GOSHI	47.4	2.23e-20	88.2
Ag00001aa141013_T001	sp|P12628|MAOX_PHAVU	80.2	0.0	922
Ag00001aa143736_T001	sp|P27777|HS16A_ORYSJ	87.5	8.15e-91	263
Ag00001aa151368_T001	sp|Q96522|PER45_ARATH	52.3	8.32e-95	286
Ag00001aa156538_T001	sp|Q08277|HSP82_MAIZE	95.4	0.0	1233
Ag00001aa157044_T001	sp|P09444|LEA34_GOSHI	48.1	3.00e-21	90.5
